Microbe,Mean_Diff,P-value,Test_Statistic,Distributions_Similar,Shapes_Similar,Recommendation,Corrected_P_value
Leptotrichia,-0.013871034877957246,0.03601564612194923,4351.0,False,False,Consider permutation test instead of Mann-Whitney,0.6509787028351307
Limnobacter,0.00013416623136809213,0.07849302152250844,6353.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Massilia,0.0006086934566050515,0.17857418246511458,6138.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Megasphaera,-0.00034128358744792316,0.11943587996161739,4631.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Methyloversatilis,0.00010911378230570078,0.46279748699694356,5821.0,True,True,Mann-Whitney assumptions satisfied,0.7785133133309212
Microbacterium,-5.190266060229928e-06,0.19932082313325028,4773.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Micrococcus,3.437620082860293e-05,0.9953870706115624,5436.0,True,True,Mann-Whitney assumptions satisfied,0.9953870706115624
Micromonospora,3.8885709041945984e-05,0.3314044115085012,4935.0,True,True,Mann-Whitney assumptions satisfied,0.7218260469842697
Mogibacterium,-0.00014563241005710376,0.03369264443225494,4337.0,False,False,Consider permutation test instead of Mann-Whitney,0.6509787028351307
Monoglobus,-3.5603536838837806e-05,0.5061333831911164,5094.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Mycobacterium,-1.5613857556340434e-05,0.06887488156160144,4495.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Neisseria,0.005621331977833252,0.5248005378991777,5770.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Nitrosomonas,6.654634956592298e-05,0.8517119269279687,5537.0,True,True,Mann-Whitney assumptions satisfied,0.960441109088986
Noviherbaspirillum,0.00012406603958519595,0.25552793556789244,6030.0,True,True,Mann-Whitney assumptions satisfied,0.6660482254966377
Oribacterium,0.00010923636245603434,0.35394509482739256,4958.0,True,True,Mann-Whitney assumptions satisfied,0.7370889207360753
Oscillibacter,4.105880009345503e-05,0.7344739337179442,5616.0,True,True,Mann-Whitney assumptions satisfied,0.8832668535314948
Otariodibacter,-8.066532967839109e-05,0.2374639293360854,4826.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Oxalobacter,3.902715858951068e-05,0.14301859974319742,6200.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Paenibacillus,-9.003161353566587e-06,0.4442222641696485,5042.0,True,True,Mann-Whitney assumptions satisfied,0.7677319565540665
Pandoraea,7.204624754165187e-05,0.19932082313325028,6106.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Parabacteroides,-1.2699339041355884e-05,0.5762459563911639,5149.0,True,True,Mann-Whitney assumptions satisfied,0.7898543712603023
Parapusillimonas,-7.33926701604789e-05,0.21528466917693967,6083.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Parasutterella,2.5282660463635354e-05,0.0403157722664554,6504.0,True,False,Consider permutation test instead of Mann-Whitney,0.6509787028351307
Parvimonas,4.331837812853487e-06,0.7344739337179442,5616.0,True,True,Mann-Whitney assumptions satisfied,0.8832668535314948
Pasteurella,8.048665082019272e-05,0.41606798699836933,5862.0,True,True,Mann-Whitney assumptions satisfied,0.7677319565540665
Peptococcus,0.00011773775026351101,0.6122648141207956,5703.0,True,True,Mann-Whitney assumptions satisfied,0.825000893603445
