Microbe,Mean_Diff,P-value,Test_Statistic,Distributions_Similar,Shapes_Similar,Recommendation,Corrected_P_value
Incertae Sedis,-7.147278664933893e-06,0.9220928852450139,4557.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Izimaplasma,4.781217296860893e-05,0.1791702964806674,5199.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Kitasatospora,0.00037869913190085225,0.7199004889760463,4761.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Klebsiella,0.0018802522528675548,0.21252937175951148,5156.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Kocuria,0.0005259432673920706,0.20120868068157294,5170.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Lactobacillus,0.0004952979887174435,0.9096061533948767,4550.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Lactococcus,-0.017113789120119856,0.35723429110193117,4191.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Lawsonella,0.0003245882521216888,0.5209588514097622,4887.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Leptotrichia,6.43803204174705e-05,0.5672047041676204,4346.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Lysinibacillus,-0.005940577927826306,0.3702968692886818,5000.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Methylobacterium-Methylorubrum,-7.863928474162712e-05,0.22430305803612927,4060.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Microbacterium,0.0003190341999892617,0.21584678307301142,4050.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Micrococcus,0.00026564744985652463,0.27603716650342447,4116.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Microlunatus,-0.002372209611199846,0.7384842070269702,4452.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Micromonospora,-1.3608751730223123e-05,0.6312303027610595,4387.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
